"_id","ability_1","ability_2","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fight","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","atk","catch_rate","category","chinese_name","defense","english_name","exp_100","generation","hatch_time","height_m","hp","image_url","male_ratio","spatk","spdef","speed","total","type_1","type_2","weight_kg"
"186","储水 或 湿气","降雨隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","0","75","5.9%","蛙宝可梦","蚊香蛙皇","75","Politoed","1,059,860","第二世代寶可夢","5140步","1.1","90","https://media.52poke.com/wiki/thumb/a/a4/186Politoed.png/600px-186Politoed.png","50%","90","100","70","500","水",,"3.9"
"187","叶绿素 或 叶子防守","穿透隱藏特性","1","1","1","1","1","1⁄2","2","2","1","1⁄4","0","4","1","2","1","2","1","1⁄2","35","33.3%","棉草宝可梦","毽子草","40","Hoppip","1,059,860","第二世代寶可夢","5140步","0.4","35","https://media.52poke.com/wiki/thumb/f/f8/187Hoppip.png/600px-187Hoppip.png","50%","35","55","50","250","草","飞行","0.5"
"188","叶绿素 或 叶子防守","穿透隱藏特性","1","1","1","1","1","1⁄2","2","2","1","1⁄4","0","4","1","2","1","2","1","1⁄2","45","15.7%","棉草宝可梦","毽子花","50","Skiploom","1,059,860","第二世代寶可夢","5140步","0.6","55","https://media.52poke.com/wiki/thumb/4/4f/188Skiploom.png/600px-188Skiploom.png","50%","45","65","80","340","草","飞行","1.0"
"189","叶绿素 或 叶子防守","穿透隱藏特性","1","1","1","1","1","1⁄2","2","2","1","1⁄4","0","4","1","2","1","2","1","1⁄2","55","5.9%","棉草宝可梦","毽子棉","70","Jumpluff","1,059,860","第二世代寶可夢","5140步","0.8","75","https://media.52poke.com/wiki/thumb/5/5e/189Jumpluff.png/600px-189Jumpluff.png","50%","55","95","110","460","草","飞行","3.0"
"190","逃跑 或 捡拾","连续攻击隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","70","5.9%","长尾宝可梦","长尾怪手","55","Aipom","800,000","第二世代寶可夢","5140步","0.8","55","https://media.52poke.com/wiki/thumb/4/42/190Aipom.png/600px-190Aipom.png","50%","40","55","85","360","一般",,"1.5"
"191","叶绿素 或 太阳之力","早起隱藏特性","2","1","1","1⁄2","1","1","2","2","1","1⁄2","1⁄2","2","1","2","1","1","1","1⁄2","30","30.7%","种子宝可梦","向日种子","30","Sunkern","1,059,860","第二世代寶可夢","5140步","0.3","30","https://media.52poke.com/wiki/thumb/9/95/191Sunkern.png/600px-191Sunkern.png","50%","30","30","30","180","草",,"1.8"
"192","叶绿素 或 太阳之力","早起隱藏特性","2","1","1","1⁄2","1","1","2","2","1","1⁄2","1⁄2","2","1","2","1","1","1","1⁄2","75","15.7%","太阳宝可梦","向日花怪","55","Sunflora","1,059,860","第二世代寶可夢","5140步","0.8","75","https://media.52poke.com/wiki/thumb/9/98/192Sunflora.png/600px-192Sunflora.png","50%","105","85","30","425","草",,"8.5"
"193","加速 或 复眼","察觉隱藏特性","1⁄2","1","1","2","1","1⁄4","2","2","1","1⁄4","0","2","1","1","1","4","1","1","65","9.8%","薄翼宝可梦","蜻蜻蜓","45","Yanma","1,000,000","第二世代寶可夢","5140步","1.2","65","https://media.52poke.com/wiki/thumb/d/dd/193Yanma.png/600px-193Yanma.png","50%","75","45","95","390","虫","飞行","8.0"
"194","湿气 或 储水","纯朴隱藏特性","1","1","1","0","1","1","1⁄2","1","1","4","1","1","1","1⁄2","1","1⁄2","1⁄2","0","45","33.3%","水鱼宝可梦","乌波","45","Wooper","1,000,000","第二世代寶可夢","5140步","0.4","55","https://media.52poke.com/wiki/thumb/7/78/194Wooper.png/600px-194Wooper.png","50%","25","25","15","210","水","地面","8.5"
"195","湿气 或 储水","纯朴隱藏特性","1","1","1","0","1","1","1⁄2","1","1","4","1","1","1","1⁄2","1","1⁄2","1⁄2","0","85","11.8%","水鱼宝可梦","沼王","85","Quagsire","1,000,000","第二世代寶可夢","5140步","1.4","95","https://media.52poke.com/wiki/thumb/a/a4/195Quagsire.png/600px-195Quagsire.png","50%","65","65","35","430","水","地面","5.0"
"196","同步","魔法镜隱藏特性","2","2","1","1","1","1⁄2","1","1","2","1","1","1","1","1","1⁄2","1","1","1","65","5.9%","太阳宝可梦","太阳伊布","60","Espeon","1,000,000","第二世代寶可夢","8995步","0.9","65","https://media.52poke.com/wiki/thumb/a/a7/196Espeon.png/600px-196Espeon.png","87.5%","130","95","110","525","超能力",,"6.5"
"197","同步","精神力隱藏特性","2","1⁄2","1","1","2","2","1","1","1⁄2","1","1","1","1","1","0","1","1","1","65","5.9%","月光宝可梦","月亮伊布","110","Umbreon","1,000,000","第二世代寶可夢","8995步","1.0","95","https://media.52poke.com/wiki/thumb/3/3d/197Umbreon.png/600px-197Umbreon.png","87.5%","60","130","65","525","恶",,"7.0"
"198","不眠 或 超幸运","恶作剧之心隱藏特性","1","1⁄2","1","2","2","1","1","1","1⁄2","1⁄2","0","2","1","1","0","2","1","1","85","3.9%","黑暗宝可梦","黑暗鸦","42","Murkrow","1,059,860","第二世代寶可夢","5140步","0.5","60","https://media.52poke.com/wiki/3/33/198Murkrow.png","50%","85","42","91","405","恶","飞行","2.1"
"199","迟钝 或 我行我素","再生力隱藏特性","2","2","1","2","1","1⁄2","1⁄2","1","2","2","1","1⁄2","1","1","1⁄2","1","1⁄2","1⁄2","75","9.2%","王者宝可梦","呆呆王","80","Slowking","1,000,000","第二世代寶可夢","5140步","2.0","95","https://media.52poke.com/wiki/e/e1/199Slowking.png","50%","100","110","30","490","水","超能力","9.5"
"200","飘浮",,"1⁄2","2","1","1","1","0","1","1","2","1","0","1","0","1⁄2","1","1","1","1","60","5.9%","夜啼宝可梦","梦妖","60","Misdreavus","800,000","第二世代寶可夢","6425步","0.7","60","https://media.52poke.com/wiki/b/be/200Misdreavus.png","50%","85","85","85","435","幽灵",,"1.0"
"201","飘浮",,"2","2","1","1","1","1⁄2","1","1","2","1","0","1","1","1","1⁄2","1","1","1","72","29.4%","象征宝可梦","未知图腾","48","Unown","1,000,000","第二世代寶可夢","10280步","0.5","48","https://media.52poke.com/wiki/7/77/201Unown.png","无性别","72","48","48","336","超能力",,"5.0"
"202","踩影","心灵感应隱藏特性","2","2","1","1","1","1⁄2","1","1","2","1","1","1","1","1","1⁄2","1","1","1","33","5.9%","忍耐宝可梦","果然翁","58","Wobbuffet","1,000,000","第二世代寶可夢","5140步","1.3","190","https://media.52poke.com/wiki/thumb/1/17/202Wobbuffet.png/600px-202Wobbuffet.png","50%","33","58","33","405","超能力",,"8.5"
"203","精神力 或 早起","食草隱藏特性","2","2","1","1","1","1","1","1","0","0","1","1","1","1","1⁄2","1","1","1","80","7.8%","长颈宝可梦","麒麟奇","65","Girafarig","1,000,000","第二世代寶可夢","5140步","1.5","70","https://media.52poke.com/wiki/thumb/1/11/203Girafarig.png/600px-203Girafarig.png","50%","90","65","85","455","一般","超能力","1.5"
"204","结实","防尘隱藏特性","1","1","1","1","1","1⁄2","2","2","1","1⁄2","1⁄2","1","1","1","1","2","1","1","65","24.8%","蓑衣虫宝可梦","榛果球","90","Pineco","1,000,000","第二世代寶可夢","5140步","0.6","50","https://media.52poke.com/wiki/thumb/0/0b/204Pineco.png/600px-204Pineco.png","50%","35","35","15","290","虫",,"7.2"
"205","结实","防尘隱藏特性","1⁄2","1","1⁄2","1","1⁄2","1","4","1","1","1⁄4","1","1⁄2","1⁄2","0","1⁄2","1","1⁄2","1","90","9.8%","蓑衣虫宝可梦","佛烈托斯","140","Forretress","1,000,000","第二世代寶可夢","5140步","1.2","75","https://media.52poke.com/wiki/thumb/6/68/205Forretress.png/600px-205Forretress.png","50%","60","60","40","465","虫","钢","125"
"206","天恩 或 逃跑","胆怯隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","70","24.8%","地蛇宝可梦","土龙弟弟","70","Dunsparce","1,000,000","第二世代寶可夢","5140步","1.5","100","https://media.52poke.com/wiki/thumb/2/20/206Dunsparce.png/600px-206Dunsparce.png","50%","65","65","45","415","一般",,"4.0"
"207","怪力钳 或 沙隐","免疫隱藏特性","1⁄2","1","1","0","1","1⁄2","1","1","1","1","0","4","1","1⁄2","1","1","1","2","75","7.8%","飞蝎宝可梦","天蝎","105","Gligar","1,059,860","第二世代寶可夢","5140步","1.1","65","https://media.52poke.com/wiki/thumb/0/04/207Gligar.png/600px-207Gligar.png","50%","35","65","85","430","地面","飞行","4.8"
"208","坚硬脑袋 或 结实","强行隱藏特性","1⁄2","1","1⁄2","0","1⁄2","2","2","1⁄2","1","1","2","1","1⁄2","0","1⁄2","1⁄4","1⁄2","2","85","3.3%","铁蛇宝可梦","大钢蛇","200","Steelix","1,000,000","第二世代寶可夢","6425步","9.2","75","https://media.52poke.com/wiki/thumb/b/ba/208Steelix.png/600px-208Steelix.png","50%","55","65","30","510","钢","地面","400"
"209","威吓 或 逃跑","胆怯隱藏特性","1⁄2","1⁄2","0","1","1","1⁄2","1","1","1","1","1","1","1","2","1","1","2","1","80","24.8%","妖精宝可梦","布鲁","50","Snubbull","800,000","第二世代寶可夢","5140步","0.6","60","https://media.52poke.com/wiki/thumb/7/7f/209Snubbull.png/600px-209Snubbull.png","25%","40","40","30","300","妖精",,"7.8"
"210","威吓 或 飞毛腿","胆怯隱藏特性","1⁄2","1⁄2","0","1","1","1⁄2","1","1","1","1","1","1","1","2","1","1","2","1","120","9.8%","妖精宝可梦","布鲁皇","75","Granbull","800,000","第二世代寶可夢","5140步","1.4","90","https://media.52poke.com/wiki/thumb/b/b1/210Granbull.png/600px-210Granbull.png","25%","60","60","45","450","妖精",,"8.7"
"211","毒刺 或 悠游自如","威吓隱藏特性","1⁄2","1","1","2","1⁄2","1⁄2","1⁄2","1","1","1","2","1⁄2","1","1⁄2","2","1","1⁄2","1⁄2","95","5.9%","气球宝可梦","千针鱼","85","Qwilfish","1,000,000","第二世代寶可夢","5140步","0.5","65","https://media.52poke.com/wiki/thumb/2/21/211Qwilfish.png/600px-211Qwilfish.png","50%","55","55","85","440","水","毒","3.9"
"212","蟲之預感 或 技术高手","轻金属隱藏特性","1⁄2","1","1⁄2","1","1⁄2","1","4","1","1","1⁄4","1","1⁄2","1⁄2","0","1⁄2","1","1⁄2","1","130","3.3%","钳子宝可梦","巨钳螳螂","100","Scizor","1,000,000","第二世代寶可夢","6425步","1.8","70","https://media.52poke.com/wiki/thumb/5/55/212Scizor.png/600px-212Scizor.png","50%","55","80","65","500","虫","钢","118"
"213","结实 或 贪吃鬼","唱反调隱藏特性","1","1","1","1","1","1","1","1","1","1","1","1","1⁄2","1⁄2","1","2","2","2","10","24.8%","发酵宝可梦","壶壶","230","Shuckle","1,059,860","第二世代寶可夢","5140步","0.6","20","https://media.52poke.com/wiki/thumb/c/c7/213Shuckle.png/600px-213Shuckle.png","50%","10","230","5","505","虫","岩石","0.5"
"214","蟲之預感 或 毅力","自信过度隱藏特性","1⁄2","1⁄2","1","1","2","1⁄2","2","4","1","1⁄2","1⁄2","1","1","1","2","1","1","1","125","5.9%","独角宝可梦","赫拉克罗斯","75","Heracross","1,250,000","第二世代寶可夢","6425步","1.5","80","https://media.52poke.com/wiki/thumb/4/47/214Heracross.png/600px-214Heracross.png","50%","40","95","85","500","虫","格斗","4.0"
"215","精神力 或 锐利目光","顺手牵羊隱藏特性","2","1⁄2","1","1","2","4","2","1","1⁄2","1","1","1⁄2","1","1","0","2","2","1","95","7.8%","钩爪宝可梦","狃拉","55","Sneasel","1,059,860","第二世代寶可夢","5140步","0.9","55","https://media.52poke.com/wiki/thumb/7/71/215Sneasel.png/600px-215Sneasel.png","50%","35","75","115","430","恶","冰","8.0"
"216","捡拾 或 飞毛腿","采蜜隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","80","15.7%","小熊宝可梦","熊宝宝","50","Teddiursa","1,000,000","第二世代寶可夢","5140步","0.6","60","https://media.52poke.com/wiki/thumb/e/e9/216Teddiursa.png/600px-216Teddiursa.png","50%","50","50","40","330","一般",,"8.8"
"217","毅力 或 飞毛腿","紧张感隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","130","7.8%","冬眠宝可梦","圈圈熊","75","Ursaring","1,000,000","第二世代寶可夢","5140步","1.8","90","https://media.52poke.com/wiki/thumb/e/e9/217Ursaring.png/600px-217Ursaring.png","50%","75","75","55","500","一般",,"125"
"218","熔岩铠甲 或 火焰之躯","碎裂铠甲隱藏特性","1⁄2","1","1","1","1⁄2","1","1⁄2","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","40","24.8%","熔岩宝可梦","熔岩虫","40","Slugma","1,000,000","第二世代寶可夢","5140步","0.7","40","https://media.52poke.com/wiki/thumb/6/68/218Slugma.png/600px-218Slugma.png","50%","70","40","20","250","火",,"5.0"
"219","熔岩铠甲 或 火焰之躯","碎裂铠甲隱藏特性","1⁄2","1","1","1","1⁄2","2","1⁄4","1⁄2","1","1","4","1⁄2","1⁄2","1⁄2","1","2","1","4","50","9.8%","熔岩宝可梦","熔岩蜗牛","120","Magcargo","1,000,000","第二世代寶可夢","5140步","0.8","60","https://media.52poke.com/wiki/thumb/6/65/219Magcargo.png/600px-219Magcargo.png","50%","90","80","30","430","火","岩石","5.0"
"220","迟钝 或 雪隐","厚脂肪隱藏特性","1","1","1","0","1","2","1","1","1","2","1","1⁄2","1","1⁄2","1","1","2","2","50","29.4%","小猪宝可梦","小山猪","40","Swinub","1,250,000","第二世代寶可夢","5140步","0.4","50","https://media.52poke.com/wiki/thumb/b/b5/220Swinub.png/600px-220Swinub.png","50%","30","30","50","250","冰","地面","6.5"
"221","迟钝 或 雪隐","厚脂肪隱藏特性","1","1","1","0","1","2","1","1","1","2","1","1⁄2","1","1⁄2","1","1","2","2","100","9.8%","野猪宝可梦","长毛猪","80","Piloswine","1,250,000","第二世代寶可夢","5140步","1.1","100","https://media.52poke.com/wiki/thumb/4/49/221Piloswine.png/600px-221Piloswine.png","50%","60","60","50","450","冰","地面","5.8"
"222","活力 或 自然回复","再生力隱藏特性","1","1","1","2","1","2","1⁄4","1⁄2","1","4","2","1⁄2","1⁄2","1⁄2","1","1","1","1","55","7.8%","珊瑚宝可梦","太阳珊瑚","95","Corsola","800,000","第二世代寶可夢","5140步","0.6","65","https://media.52poke.com/wiki/thumb/f/fc/222Corsola.png/600px-222Corsola.png","25%","65","95","35","410","水","岩石","5.0"
"223","活力 或 狙击手","心情不定隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","1⁄2","65","24.8%","喷射宝可梦","铁炮鱼","35","Remoraid","1,000,000","第二世代寶可夢","5140步","0.6","35","https://media.52poke.com/wiki/thumb/9/95/223Remoraid.png/600px-223Remoraid.png","50%","65","35","65","300","水",,"2.0"
"224","吸盘 或 狙击手","心情不定隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","1⁄2","105","9.8%","喷射宝可梦","章鱼桶","75","Octillery","1,000,000","第二世代寶可夢","5140步","0.9","75","https://media.52poke.com/wiki/thumb/c/cb/224Octillery.png/600px-224Octillery.png","50%","105","75","45","480","水",,"8.5"
"225","干劲 或 活力","不眠隱藏特性","1⁄2","1","1","2","1","1","2","1","1","1⁄2","0","1","1","1","1","4","2","1","55","5.9%","搬运宝可梦","信使鸟","45","Delibird","800,000","第二世代寶可夢","5140步","0.9","45","https://media.52poke.com/wiki/thumb/3/3f/225Delibird.png/600px-225Delibird.png","50%","65","45","75","330","冰","飞行","6.0"
"226","悠游自如 或 储水","水幕隱藏特性","1⁄2","1","1","4","1","1⁄2","1⁄2","1","1","1","0","1","1","1","1","2","1⁄2","0","40","3.3%","风筝宝可梦","巨翅飞鱼","70","Mantine","1,250,000","第二世代寶可夢","6425步","2.1","85","https://media.52poke.com/wiki/thumb/c/c5/226Mantine.png/600px-226Mantine.png","50%","80","140","70","485","水","飞行","220"
"227","锐利目光 或 结实","碎裂铠甲隱藏特性","1⁄4","1","1⁄2","2","1⁄2","1","2","1⁄2","1","1⁄4","0","1","1⁄2","0","1⁄2","1","1⁄2","1","80","3.3%","钢甲鸟宝可梦","盔甲鸟","140","Skarmory","1,250,000","第二世代寶可夢","6425步","1.7","65","https://media.52poke.com/wiki/thumb/3/35/227Skarmory.png/600px-227Skarmory.png","50%","40","70","70","465","钢","飞行","0.5"
"228","早起 或 引火","紧张感隱藏特性","1","1⁄2","1","1","1","2","0","1","1⁄2","1⁄2","2","1⁄2","1","1","0","2","1⁄2","2","60","15.7%","阴暗宝可梦","戴鲁比","30","Houndour","1,250,000","第二世代寶可夢","5140步","0.6","45","https://media.52poke.com/wiki/5/53/228Houndour.png","50%","80","50","65","330","恶","火","0.8"
"229","早起 或 引火","紧张感隱藏特性","1","1⁄2","1","1","1","2","0","1","1⁄2","1⁄2","2","1⁄2","1","1","0","2","1⁄2","2","90","5.9%","阴暗宝可梦","黑鲁加","50","Houndoom","1,250,000","第二世代寶可夢","5140步","1.4","75","https://media.52poke.com/wiki/5/51/229Houndoom.png","50%","110","80","95","500","恶","火","5.0"
"230","悠游自如 或 狙击手","湿气隱藏特性","1","1","2","1","2","1","1⁄4","1","1","1","1","1","1","1","1","1","1⁄2","1⁄4","95","5.9%","龙宝可梦","刺龙王","95","Kingdra","1,000,000","第二世代寶可夢","5140步","1.8","75","https://media.52poke.com/wiki/thumb/3/3c/230Kingdra.png/600px-230Kingdra.png","50%","95","95","85","540","水","龙","152"
"231","捡拾","沙隐隱藏特性","1","1","1","0","1","1","1","1","1","2","1","2","1","1⁄2","1","1⁄2","1","2","60","15.7%","长鼻宝可梦","小小象","60","Phanpy","1,000,000","第二世代寶可夢","5140步","0.5","90","https://media.52poke.com/wiki/thumb/d/d3/231Phanpy.png/600px-231Phanpy.png","50%","40","40","40","330","地面",,"3.5"
"232","结实","沙隐隱藏特性","1","1","1","0","1","1","1","1","1","2","1","2","1","1⁄2","1","1⁄2","1","2","120","7.8%","铠甲宝可梦","顿甲","120","Donphan","1,000,000","第二世代寶可夢","5140步","1.1","90","https://media.52poke.com/wiki/thumb/5/53/232Donphan.png/600px-232Donphan.png","50%","60","60","50","500","地面",,"120"
"233","复制 或 下载","分析隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","80","5.9%","虚拟宝可梦","多边兽Ⅱ","90","Porygon2","1,000,000","第二世代寶可夢","5140步","0.6","85","https://media.52poke.com/wiki/thumb/9/99/233Porygon2.png/600px-233Porygon2.png","无性别","105","95","60","515","一般",,"2.5"
"234","威吓 或 察觉","食草隱藏特性","1","1","1","1","1","2","1","1","0","0","1","1","1","1","1","1","1","1","95","5.9%","大角宝可梦","惊角鹿","62","Stantler","1,250,000","第二世代寶可夢","5140步","1.4","73","https://media.52poke.com/wiki/thumb/5/50/234Stantler.png/600px-234Stantler.png","50%","85","65","85","465","一般",,"1.2"
"235","我行我素 或 技术高手","心情不定隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","20","5.9%","画画宝可梦","图图犬","35","Smeargle","800,000","第二世代寶可夢","5140步","1.2","55","https://media.52poke.com/wiki/thumb/9/92/235Smeargle.png/600px-235Smeargle.png","50%","20","45","75","250","一般",,"8.0"
"236","毅力 或 不屈之心","干劲隱藏特性","1⁄2","1⁄2","1","1","2","1","1","2","1","1","1","1","1","1","2","1⁄2","1","1","35","9.8%","打斗宝可梦","无畏小子","35","Tyrogue","1,000,000","第二世代寶可夢","6425步","0.7","35","https://media.52poke.com/wiki/thumb/c/c7/236Tyrogue.png/600px-236Tyrogue.png","100%","35","35","35","210","格斗",,"1.0"
"237","威吓 或 技术高手","不屈之心隱藏特性","1⁄2","1⁄2","1","1","2","1","1","2","1","1","1","1","1","1","2","1⁄2","1","1","95","5.9%","倒立宝可梦","战舞郎","95","Hitmontop","1,000,000","第二世代寶可夢","6425步","1.4","50","https://media.52poke.com/wiki/thumb/9/94/237Hitmontop.png/600px-237Hitmontop.png","100%","35","110","70","455","格斗",,"8.0"
"238","迟钝 或 预知梦","湿润之躯隱藏特性","2","2","1","1","1","1","2","1","2","1","1","1⁄2","1","1","1⁄2","2","2","1","30","5.9%","亲吻宝可梦","迷唇娃","15","Smoochum","1,000,000","第二世代寶可夢","6425步","0.4","45","https://media.52poke.com/wiki/thumb/0/0e/238Smoochum.png/600px-238Smoochum.png","100%","85","65","65","305","冰","超能力","6.0"
"239","静电","干劲隱藏特性","1","1","1","1⁄2","1","1","1","1⁄2","1","1","2","1","1","1","1","1","1⁄2","1","63","5.9%","电气宝可梦","电击怪","37","Elekid","1,000,000","第二世代寶可夢","6425步","0.6","45","https://media.52poke.com/wiki/5/5d/239Elekid.png","75%","65","55","95","360","电",,"3.5"
"240","火焰之躯","干劲隱藏特性","1⁄2","1","1","1","1⁄2","1","1⁄2","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","75","5.9%","火种宝可梦","鸭嘴宝宝","37","Magby","1,000,000","第二世代寶可夢","6425步","0.7","45","https://media.52poke.com/wiki/thumb/c/cb/240Magby.png/600px-240Magby.png","75%","70","55","83","365","火",,"1.4"
"241","厚脂肪 或 胆量","食草隱藏特性","1","1","1","1","1","2","1⁄2","1","0","1","1","1⁄2","1","1","1","1","1","1","80","5.9%","奶牛宝可梦","大奶罐","105","Miltank","1,250,000","第二世代寶可夢","5140步","1.2","95","https://media.52poke.com/wiki/thumb/1/13/241Miltank.png/600px-241Miltank.png","100%","40","70","100","490","一般",,"5.5"
"242","自然回复 或 天恩","治愈之心隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","10","3.9%","幸福宝可梦","幸福蛋","10","Blissey","800,000","第二世代寶可夢","10280步","1.5","255","https://media.52poke.com/wiki/thumb/5/56/242Blissey.png/600px-242Blissey.png","100%","75","135","55","540","一般",,"6.8"
"243","压迫感","精神力隱藏特性","1","1","1","0","1","1","1","1⁄2","1","1","2","1","1","1","1","1","1⁄2","1","85","0.4%","天雷宝可梦","雷公","75","Raikou","1,250,000","第二世代寶可夢","20560步","1.9","90","https://media.52poke.com/wiki/thumb/c/c1/243Raikou.png/600px-243Raikou.png","无性别","115","100","115","580","电",,"178"
"244","压迫感","精神力隱藏特性","1⁄2","1","1","1","1⁄2","1","0","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","115","0.4%","火山宝可梦","炎帝","85","Entei","1,250,000","第二世代寶可夢","20560步","2.1","115","https://media.52poke.com/wiki/thumb/f/f9/244Entei.png/600px-244Entei.png","无性别","90","75","100","580","火",,"198"
"245","压迫感","精神力隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","0","75","0.4%","极光宝可梦","水君","115","Suicune","1,250,000","第二世代寶可夢","20560步","2.0","100","https://media.52poke.com/wiki/thumb/d/da/245Suicune.png/600px-245Suicune.png","无性别","90","115","85","580","水",,"187"
"246","毅力","沙隐隱藏特性","1","1","1","0","1","2","1⁄2","1⁄2","1","4","2","2","1⁄2","1⁄4","1","1⁄2","2","4","64","5.9%","岩石肤宝可梦","幼基拉斯","50","Larvitar","1,250,000","第二世代寶可夢","10280步","0.6","50","https://media.52poke.com/wiki/thumb/7/70/246Larvitar.png/600px-246Larvitar.png","50%","45","50","41","300","岩石","地面","2.0"
"247","蜕皮",,"1","1","1","0","1","2","1⁄2","1⁄2","1","4","2","2","1⁄2","1⁄4","1","1⁄2","2","4","84","5.9%","子弹宝可梦","沙基拉斯","70","Pupitar","1,250,000","第二世代寶可夢","10280步","1.2","70","https://media.52poke.com/wiki/thumb/a/a1/247Pupitar.png/600px-247Pupitar.png","50%","65","70","51","410","岩石","地面","152"
"248","扬沙","紧张感隱藏特性","2","1⁄2","1","1","2","4","1⁄2","1⁄2","1⁄2","2","2","1","1⁄2","1⁄2","0","1","2","2","134","5.9%","铠甲宝可梦","班基拉斯","110","Tyranitar","1,250,000","第二世代寶可夢","10280步","2.0","100","https://media.52poke.com/wiki/thumb/8/82/248Tyranitar.png/600px-248Tyranitar.png","50%","95","100","61","600","岩石","恶","202"
"249","压迫感","多重鳞片隱藏特性","1","2","1","2","1","1⁄4","1","1","2","1⁄2","0","2","1","1","1⁄2","2","1","1","90","0.4%","潜水宝可梦","洛奇亚","130","Lugia","1,250,000","第二世代寶可夢","30840步","5.2","106","https://media.52poke.com/wiki/thumb/4/44/249Lugia.png/600px-249Lugia.png","无性别","90","154","110","680","超能力","飞行","216"
"250","压迫感","再生力隱藏特性","1⁄4","1","1","2","1⁄2","1⁄2","1⁄2","1","1","1⁄4","0","1","1","1","1","4","1⁄2","2","130","0.4%","虹色宝可梦","凤王","90","Ho-Oh","1,250,000","第二世代寶可夢","30840步","3.8","106","https://media.52poke.com/wiki/thumb/6/67/250Ho-Oh.png/600px-250Ho-Oh.png","无性别","110","154","90","680","火","飞行","199"
"251","自然回复",,"4","2","1","1⁄2","1","1⁄2","2","2","2","1⁄2","1⁄2","2","1","2","1⁄2","1","1","1⁄2","100","5.9%","时空穿越宝可梦","时拉比","100","Celebi","1,059,860","第二世代寶可夢","30840步","0.6","100","https://media.52poke.com/wiki/thumb/e/e7/251Celebi.png/600px-251Celebi.png","无性别","100","100","100","600","超能力","草","5.0"
"252","茂盛","轻装隱藏特性","2","1","1","1⁄2","1","1","2","2","1","1⁄2","1⁄2","2","1","2","1","1","1","1⁄2","45","5.9%","林蜥宝可梦","木守宫","35","Treecko","1,059,860","第三世代寶可夢","5140步","0.5","40","https://media.52poke.com/wiki/thumb/2/2c/252Treecko.png/500px-252Treecko.png","87.5%","65","55","70","310","草",,"5.0"
"253","茂盛","轻装隱藏特性","2","1","1","1⁄2","1","1","2","2","1","1⁄2","1⁄2","2","1","2","1","1","1","1⁄2","65","5.9%","林蜥宝可梦","森林蜥蜴","45","Grovyle","1,059,860","第三世代寶可夢","5140步","0.9","50","https://media.52poke.com/wiki/thumb/e/ea/253Grovyle.png/600px-253Grovyle.png","87.5%","85","65","95","405","草",,"1.6"
"254","茂盛","轻装隱藏特性","2","1","2","0","2","1","1","2","1","1⁄4","1⁄2","4","1","2","1","1","1","1⁄4","85","5.9%","密林宝可梦","蜥蜴王","65","Sceptile","1,059,860","第三世代寶可夢","5140步","1.7","70","https://media.52poke.com/wiki/thumb/3/3e/254Sceptile.png/600px-254Sceptile.png","87.5%","105","85","120","530","草",,"2.2"
"255","猛火","加速隱藏特性","1⁄2","1","1","1","1⁄2","1","1⁄2","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","60","5.9%","雏鸡宝可梦","火稚鸡","40","Torchic","1,059,860","第三世代寶可夢","5140步","0.4","45","https://media.52poke.com/wiki/thumb/9/91/255Torchic.png/500px-255Torchic.png","87.5%","70","50","45","310","火",,"2.5"
"256","猛火","加速隱藏特性","1⁄4","1⁄2","1","1","1","1","1⁄2","2","1","1⁄2","2","1⁄2","1","1","2","1","1⁄2","2","85","5.9%","幼鸡宝可梦","力壮鸡","60","Combusken","1,059,860","第三世代寶可夢","5140步","0.9","60","https://media.52poke.com/wiki/thumb/2/29/256Combusken.png/600px-256Combusken.png","87.5%","85","60","55","405","火","格斗","9.5"
