pokedex,name,japanese_name,chinese-name,classfication,type1,type2,abilities,percentage_male,height_m,weight_kg,base_total,hp,attack,defense,sp_attack,sp_defense,speed,base_happiness,capture_rate,generation,is_legendary,base_egg_steps,experience_growth,against_normal,against_fight,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark,against_fairy,img_url
201,Unown,Unknown閵堚偓鍏傞妷搴涘厳閵,鏈煡鍦栭ò / 鏈煡鍥捐吘W猫izh墨t煤t茅ng,Symbol Pok鑼卪on,psychic,,['Levitate'],,0.5,5.0,336,48,72,48,72,48,48,70.0,225,2,0,10240,1000000,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,https://media.52poke.com/wiki/7/77/201Unown.png
202,Wobbuffet,Sonans閵堝鍏楅妷濞垮厒閵,鏋滅劧缈 / 鏋滅劧缈丟u菕r谩nw膿ng,Patient Pok鑼卪on,psychic,,"['Shadow Tag', 'Telepathy']",50.0,1.3,28.5,405,190,33,58,33,58,33,70.0,45,2,0,5120,1000000,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,https://media.52poke.com/wiki/thumb/1/17/202Wobbuffet.png/600px-202Wobbuffet.png
203,Girafarig,Kirinriki閵堝劧閵夌偨鍎堕妶,楹掗簾濂 / 楹掗簾濂嘠铆l铆nq铆,Long Neck Pok鑼卪on,normal,psychic,"['Inner Focus', 'Early Bird', 'Sap Sipper']",50.0,1.5,41.5,455,70,80,65,90,65,85,70.0,60,2,0,5120,1000000,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,https://media.52poke.com/wiki/thumb/1/11/203Girafarig.png/600px-203Girafarig.png
204,Pineco,Kunugidama閵堝剹閵堝剦閵,姒涙灉鐞 / 姒涙灉鐞僙h膿ngu菕qi煤,Bagworm Pok鑼卪on,bug,,"['Sturdy', 'Overcoat']",50.0,0.6,7.2,290,50,65,90,35,35,15,70.0,190,2,0,5120,1000000,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/0/0b/204Pineco.png/600px-204Pineco.png
205,Forretress,Foretos閵夋洏鍋愰妷鍎撻妶,浣涚儓鎵樻柉 / 浣涚儓鎵樻柉F贸li猫tu艒s墨,Bagworm Pok鑼卪on,bug,steel,"['Sturdy', 'Overcoat']",50.0,1.2,125.8,465,75,90,140,60,60,40,70.0,75,2,0,5120,1000000,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,0.5,0.5,0.5,1.0,0.5,https://media.52poke.com/wiki/thumb/6/68/205Forretress.png/600px-205Forretress.png
206,Dunsparce,Nokocchi閵夊簺鍋濋妷鍐﹀剨,鍦熼緧寮熷紵 / 鍦熼緳寮熷紵T菙l贸ngd矛d矛,Land Snake Pok鑼卪on,normal,,"['Serene Grace', 'Run Away', 'Rattled']",50.0,1.5,14.0,415,100,70,70,65,65,45,70.0,190,2,0,5120,1000000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/2/20/206Dunsparce.png/600px-206Dunsparce.png
207,Gligar,Gliger閵堣埇鍎甸妶銈冨亾閵,澶╄爫 / 澶╄潕Ti膩nxi膿,Flyscorpion Pok鑼卪on,ground,flying,"['Hyper Cutter', 'Sand Veil', 'Immunity']",50.0,1.1,64.8,430,65,75,105,35,65,85,70.0,60,2,0,5120,1059860,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/0/04/207Gligar.png/600px-207Gligar.png
208,Steelix,Haganeil閵夊繈鍋撻妷宥冨厳閵,澶ч嫾铔 / 澶ч挗铔嘍脿g膩ngsh茅,Iron Snake Pok鑼卪on,steel,ground,"['Rock Head', 'Sturdy', 'Sheer Force']",50.0,9.2,400.0,610,75,125,230,55,95,30,70.0,25,2,0,6400,1000000,0.5,2.0,0.5,0.0,2.0,0.25,0.5,1.0,0.5,2.0,2.0,1.0,0.0,0.5,1.0,0.5,1.0,0.5,https://media.52poke.com/wiki/thumb/b/ba/208Steelix.png/600px-208Steelix.png
209,Snubbull,Bulu閵夋牓鍎烽妷,甯冮 / 甯冮瞾B霉l菙,Fairy Pok鑼卪on,fairy,,"['Intimidate', 'Run Away', 'Rattled']",24.6,0.6,7.8,300,60,80,50,40,40,30,70.0,190,2,0,5120,800000,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,https://media.52poke.com/wiki/thumb/7/7f/209Snubbull.png/600px-209Snubbull.png
210,Granbull,Granbulu閵堣埇鍎甸妷鐐藉劉閵,甯冮鐨 / 甯冮瞾鐨嘊霉l菙hu谩ng,Fairy Pok鑼卪on,fairy,,"['Intimidate', 'Quick Feet', 'Rattled']",24.6,1.4,48.7,450,90,120,75,60,60,45,70.0,75,2,0,5120,800000,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,https://media.52poke.com/wiki/thumb/b/b1/210Granbull.png/600px-210Granbull.png
211,Qwilfish,Harysen閵夊繈鍎堕妷绗哄仸閵,鍗冮嚌榄 / 鍗冮拡楸糛i膩nzh膿ny煤,Balloon Pok鑼卪on,water,poison,"['Poison Point', 'Swift Swim', 'Intimidate']",50.0,0.5,3.9,440,65,95,85,55,55,85,70.0,45,2,0,5120,1000000,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/2/21/211Qwilfish.png/600px-211Qwilfish.png
212,Scizor,Hassam閵夊繈鍎嶉妶鐐瑰劕,宸ㄩ墬铻宠瀭 / 宸ㄩ挸铻宠瀭J霉qi谩nt谩ngl谩ng,Pincer Pok鑼卪on,bug,steel,"['Swarm', 'Technician', 'Light Metal']",50.0,1.8,118.0,600,70,150,140,65,100,75,70.0,25,2,0,6400,1000000,0.5,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,0.5,0.5,0.5,1.0,0.5,https://media.52poke.com/wiki/thumb/5/55/212Scizor.png/600px-212Scizor.png
213,Shuckle,Tsubotsubo閵夊嫨鍎ㄩ妷鍕╁劏,澹哄： / 澹跺６H煤h煤,Mold Pok鑼卪on,bug,rock,"['Sturdy', 'Gluttony', 'Contrary']",50.0,0.6,20.5,505,20,10,230,10,230,5,70.0,190,2,0,5120,1059860,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/c/c7/213Shuckle.png/600px-213Shuckle.png
214,Heracross,Heracros閵夋ǜ鍎甸妶鍎归妶,璧媺鍏嬬緟鏂 / 璧媺鍏嬬綏鏂疕猫l膩k猫lu贸s墨,Singlehorn Pok鑼卪on,bug,fighting,"['Swarm', 'Guts', 'Moxie']",50.0,1.5,54.0,600,80,185,115,40,105,75,70.0,45,2,0,6400,1250000,1.0,0.5,4.0,1.0,0.5,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,https://media.52poke.com/wiki/thumb/4/47/214Heracross.png/600px-214Heracross.png
215,Sneasel,Nyula閵夊鍎遍妷绗哄劦,鐙冩媺 / 鐙冩媺Ni菙l膩,Sharp Claw Pok鑼卪on,dark,ice,"['Inner Focus', 'Keen Eye', 'Pickpocket']",50.0,0.9,28.0,430,55,95,55,35,75,115,35.0,60,2,0,5120,1059860,1.0,4.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,0.5,2.0,https://media.52poke.com/wiki/thumb/7/71/215Sneasel.png/600px-215Sneasel.png
216,Teddiursa,Himeguma閵夋帇鍎妶鑸劒,鐔婂瀵 / 鐔婂疂瀹漍i贸ngb菐ob菐o,Little Bear Pok鑼卪on,normal,,"['Pickup', 'Quick Feet', 'Honey Gather']",50.0,0.6,8.8,330,60,80,50,50,50,40,70.0,120,2,0,5120,1000000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/e/e9/216Teddiursa.png/600px-216Teddiursa.png
217,Ursaring,Ringuma閵夊厒閵堣埇鍎,鍦堝湀鐔 / 鍦堝湀鐔奞u膩nqu膩nxi贸ng,Hibernator Pok鑼卪on,normal,,"['Guts', 'Quick Feet', 'Unnerve']",50.0,1.8,125.8,500,90,130,75,75,75,55,70.0,60,2,0,5120,1000000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/e/e9/217Ursaring.png/600px-217Ursaring.png
218,Slugma,Magmag閵夌偑鍋橀妷鐐剭閵,鐔斿博锜 / 鐔斿博铏玆贸ngy谩nch贸ng,Lava Pok鑼卪on,fire,,"['Magma Armor', 'Flame Body', 'Weak Armor']",50.0,0.7,35.0,250,40,40,40,70,40,20,70.0,190,2,0,5120,1000000,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/6/68/218Slugma.png/600px-218Slugma.png
219,Magcargo,Magcargot閵夌偑鍋橀妶鍎烽妶,鐔斿博铦哥墰 / 鐔斿博铚楃墰R贸ngy谩nw艒ni煤,Lava Pok鑼卪on,fire,rock,"['Magma Armor', 'Flame Body', 'Weak Armor']",50.0,0.8,55.0,430,60,50,120,90,80,30,70.0,75,2,0,5120,1000000,0.5,2.0,0.5,0.5,4.0,2.0,0.5,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/6/65/219Magcargo.png/600px-219Magcargo.png
220,Swinub,Urimoo閵堬负鍎堕妷鐘厳,灏忓北璞 / 灏忓北鐚猉i菐osh膩nzh奴,Pig Pok鑼卪on,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50.0,0.4,6.5,250,50,50,40,30,30,50,70.0,225,2,0,5120,1250000,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/b/b5/220Swinub.png/600px-220Swinub.png
221,Piloswine,Inomoo閵堛們鍎欓妷鐘厳,闀锋瘺璞 / 闀挎瘺鐚狢h谩ngm谩ozh奴,Swine Pok鑼卪on,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50.0,1.1,55.8,450,100,100,80,60,60,50,70.0,75,2,0,5120,1250000,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/4/49/221Piloswine.png/600px-221Piloswine.png
222,Corsola,Sunnygo閵堢偣鍎栭妷绗哄仦,澶櫧鐝婄憵 / 澶槼鐝婄憵T脿iy谩ngsh膩nh煤,Coral Pok鑼卪on,water,rock,"['Hustle', 'Natural Cure', 'Regenerator']",24.6,0.6,5.0,410,65,55,95,65,95,35,70.0,60,2,0,5120,800000,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/f/fc/222Corsola.png/600px-222Corsola.png
223,Remoraid,Teppouo閵夊棎鍎嶉妷婵勫亰閵,閻电偖榄 / 閾佺偖楸糡i臎p脿oy煤,Jet Pok鑼卪on,water,,"['Hustle', 'Sniper', 'Moody']",50.0,0.6,12.0,300,35,65,35,65,35,65,70.0,190,2,0,5120,1000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/9/95/223Remoraid.png/600px-223Remoraid.png
224,Octillery,Okutank閵堝仐閵堣￥鍏,绔犻瓪妗 / 绔犻奔妗禯h膩ngy煤t菕ng,Jet Pok鑼卪on,water,,"['Suction Cups', 'Sniper', 'Moody']",50.0,0.9,28.5,480,75,105,75,105,75,45,70.0,75,2,0,5120,1000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/c/cb/224Octillery.png/600px-224Octillery.png
225,Delibird,Delibird閵夊洢鍎堕妷鎰╁厳閵,淇′娇槌 / 淇′娇楦焁矛nsh菒ni菐o,Delivery Pok鑼卪on,ice,flying,"['Vital Spirit', 'Hustle', 'Insomnia']",50.0,0.9,16.0,330,45,55,45,65,45,75,70.0,45,2,0,5120,800000,1.0,1.0,1.0,1.0,0.0,4.0,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/3/3f/225Delibird.png/600px-225Delibird.png
226,Mantine,Mantain閵夌偑鍏傞妶瑁ゅ亞閵,宸ㄧ繀椋涢瓪 / 宸ㄧ繀椋為奔J霉ch矛f膿iy煤,Kite Pok鑼卪on,water,flying,"['Swift Swim', 'Water Absorb', 'Water Veil']",50.0,2.1,220.0,485,85,40,70,80,140,70,70.0,25,2,0,6400,1250000,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/c/c5/226Mantine.png/600px-226Mantine.png
227,Skarmory,Airmd閵堛劊鍋勯妷绗哄劕閵,鐩旂敳槌 / 鐩旂敳楦烱u墨ji菐ni菐o,Armor Bird Pok鑼卪on,steel,flying,"['Keen Eye', 'Sturdy', 'Weak Armor']",50.0,1.7,50.5,465,65,80,140,40,70,70,70.0,25,2,0,6400,1250000,0.5,1.0,0.5,0.0,0.0,1.0,0.25,1.0,0.5,2.0,1.0,0.25,2.0,0.5,1.0,0.5,1.0,0.5,https://media.52poke.com/wiki/thumb/3/35/227Skarmory.png/600px-227Skarmory.png
228,Houndour,Delvil閵夊洢鍎烽妷鎾卞劮,鎴撮姣 / 鎴撮瞾姣擠脿il菙b菒,Dark Pok鑼卪on,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",50.0,0.6,10.8,330,45,60,30,80,50,65,35.0,120,2,0,5120,1250000,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,https://media.52poke.com/wiki/5/53/228Houndour.png
229,Houndoom,Hellgar閵夋ǜ鍎烽妶鍏,榛戦鍔 / 榛戦瞾鍔燞膿il菙ji膩,Dark Pok鑼卪on,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",50.0,1.4,35.0,600,75,90,90,140,90,115,35.0,45,2,0,5120,1250000,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,https://media.52poke.com/wiki/5/51/229Houndoom.png
230,Kingdra,Kingdra閵堝厒閵堣埇鍎旈妷,鍒洪緧鐜 / 鍒洪緳鐜婥矛l贸ngw谩ng,Dragon Pok鑼卪on,water,dragon,"['Swift Swim', 'Sniper', 'Damp']",50.0,1.8,152.0,540,75,95,95,95,95,85,70.0,45,2,0,5120,1000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,1.0,1.0,1.0,1.0,2.0,1.0,2.0,https://media.52poke.com/wiki/thumb/3/3c/230Kingdra.png/600px-230Kingdra.png
231,Phanpy,Gomazou閵堟番鍎妶淇卞亰,灏忓皬璞 / 灏忓皬璞Xi菐oxi菐oxi脿ng,Long Nose Pok鑼卪on,ground,,"['Pickup', 'Sand Veil']",50.0,0.5,33.5,330,90,60,60,40,40,40,70.0,120,2,0,5120,1000000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/d/d3/231Phanpy.png/600px-231Phanpy.png
232,Donphan,Donfan閵夊鍏傞妷鏇樺亗閵,闋撶敳 / 椤跨敳D霉nji菐,Armor Pok鑼卪on,ground,,"['Sturdy', 'Sand Veil']",50.0,1.1,120.0,500,90,120,120,60,60,50,70.0,60,2,0,5120,1000000,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/5/53/232Donphan.png/600px-232Donphan.png
233,Porygon2,Porygon2閵夋縿鍎堕妶娣厒閿,澶氶倞鐛糕叀 / 澶氳竟鍏解叀Du艒bi膩nsh貌uII,Virtual Pok鑼卪on,normal,,"['Trace', 'Download', 'Analytic']",,0.6,32.5,515,85,80,90,105,95,60,70.0,45,2,0,5120,1000000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/9/99/233Porygon2.png/600px-233Porygon2.png
234,Stantler,Odoshishi閵堝剶閵堟灚鍋,椹氳楣 / 鎯婅楣縅墨ngji菐ol霉,Big Horn Pok鑼卪on,normal,,"['Intimidate', 'Frisk', 'Sap Sipper']",50.0,1.4,71.2,465,73,95,62,85,65,85,70.0,45,2,0,5120,1250000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/5/50/234Stantler.png/600px-234Stantler.png
235,Smeargle,Doble閵夊鍏楅妷鏍ュ劮,鍦栧湒鐘 / 鍥惧浘鐘琓煤t煤qu菐n,Painter Pok鑼卪on,normal,,"['Own Tempo', 'Technician', 'Moody']",50.0,1.2,58.0,250,55,20,35,20,45,75,70.0,45,2,0,5120,800000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/9/92/235Smeargle.png/600px-235Smeargle.png
236,Tyrogue,Balkie閵夋劑鍎烽妶鍏,鐒＄晱灏忓瓙 / 鏃犵晱灏忓瓙W煤w猫ixi菐oz菒,Scuffle Pok鑼卪on,fighting,,"['Guts', 'Steadfast', 'Vital Spirit']",100.0,0.7,21.0,210,35,35,35,35,35,35,70.0,75,2,0,6400,1000000,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,https://media.52poke.com/wiki/thumb/c/c7/236Tyrogue.png/600px-236Tyrogue.png
237,Hitmontop,Kapoerer閵堝劑閵堛劊鍎甸妷,鎴拌垶閮 / 鎴樿垶閮嶼h脿nw菙l谩ng,Handstand Pok鑼卪on,fighting,,"['Intimidate', 'Technician', 'Steadfast']",100.0,1.4,48.0,455,50,95,95,35,110,70,70.0,45,2,0,6400,1000000,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,https://media.52poke.com/wiki/thumb/9/94/237Hitmontop.png/600px-237Hitmontop.png
238,Smoochum,Muchul閵夌姰鍎婇妷銉ｅ厳閵,杩峰攪濞 / 杩峰攪濞僊铆ch煤nw谩,Kiss Pok鑼卪on,ice,psychic,"['Oblivious', 'Forewarn', 'Hydration']",0.0,0.4,6.0,305,45,30,15,85,65,65,70.0,45,2,0,6400,1000000,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,1.0,https://media.52poke.com/wiki/thumb/0/0e/238Smoochum.png/600px-238Smoochum.png
239,Elekid,Elekid閵堛劊鍎搁妶鍎嶉妷,闆绘搳鎬 / 鐢靛嚮鎬狣i脿nj墨gu脿i,Electric Pok鑼卪on,electric,,"['Static', 'Vital Spirit']",75.4,0.6,23.5,360,45,63,37,65,55,95,70.0,45,2,0,6400,1000000,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/5/5d/239Elekid.png
240,Magby,Buby閵夋牓鍎為妶,榇ㄥ槾瀵跺 / 楦槾瀹濆疂Y膩zu菒b菐ob菐o,Live Coal Pok鑼卪on,fire,,"['Flame Body', 'Vital Spirit']",75.4,0.7,21.4,365,45,75,37,70,55,83,70.0,45,2,0,6400,1000000,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/c/cb/240Magby.png/600px-240Magby.png
241,Miltank,Miltank閵夌喆鍎烽妶瑁ゅ厒閵,澶уザ缃 / 澶уザ缃怐脿n菐igu脿n,Milk Cow Pok鑼卪on,normal,,"['Thick Fat', 'Scrappy', 'Sap Sipper']",0.0,1.2,75.5,490,95,80,105,40,70,100,70.0,45,2,0,5120,1250000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/1/13/241Miltank.png/600px-241Miltank.png
242,Blissey,Happinas閵夊繈鍎熼妷濞垮仯,骞哥铔 / 骞哥铔媂矛ngf煤d脿n,Happiness Pok鑼卪on,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",0.0,1.5,46.8,540,255,10,10,75,135,55,140.0,30,2,0,10240,800000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/5/56/242Blissey.png/600px-242Blissey.png
243,Raikou,Raikou閵夆斂鍋嗛妶鐐藉亰,闆峰叕 / 闆峰叕L茅ig艒ng,Thunder Pok鑼卪on,electric,,"['Pressure', 'Inner Focus']",,1.9,178.0,580,90,85,75,115,100,115,35.0,3,2,1,20480,1250000,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/c/c1/243Raikou.png/600px-243Raikou.png
244,Entei,Entei閵堛劊鍏傞妷鍡愬亞,鐐庡笣 / 鐐庡笣Y谩nd矛,Volcano Pok鑼卪on,fire,,"['Pressure', 'Inner Focus']",,2.1,198.0,580,115,115,85,90,75,100,35.0,3,2,1,20480,1250000,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/f/f9/244Entei.png/600px-244Entei.png
245,Suicune,Suicune閵堝箍鍋嗛妶鍏,姘村悰 / 姘村悰Shu菒j奴n,Aurora Pok鑼卪on,water,,"['Pressure', 'Inner Focus']",,2.0,187.0,580,100,75,115,90,115,85,35.0,3,2,1,20480,1250000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/d/da/245Suicune.png/600px-245Suicune.png
246,Larvitar,Yogiras閵夈劊鍏楅妶鍎甸妶,骞煎熀鎷夋柉 / 骞煎熀鎷夋柉Y貌uj墨l膩s墨,Rock Skin Pok鑼卪on,rock,ground,"['Guts', 'Sand Veil']",50.0,0.6,72.0,300,50,64,50,45,50,41,35.0,45,2,0,10240,1250000,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/7/70/246Larvitar.png/600px-246Larvitar.png
247,Pupitar,Sanagiras閵堢偣鍎曢妶鍎甸妶,娌欏熀鎷夋柉 / 娌欏熀鎷夋柉Sh膩j墨l膩s墨,Hard Shell Pok鑼卪on,rock,ground,['Shed Skin'],50.0,1.2,152.0,410,70,84,70,65,70,51,35.0,45,2,0,10240,1250000,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/a/a1/247Pupitar.png/600px-247Pupitar.png
248,Tyranitar,Bangiras閵夋劑鍏傞妶鍎甸妶,鐝熀鎷夋柉 / 鐝熀鎷夋柉B膩nj墨l膩s墨,Armor Pok鑼卪on,rock,dark,"['Sand Stream', 'Unnerve']",50.0,2.0,202.0,700,100,164,150,95,120,71,35.0,45,2,0,10240,1250000,0.5,4.0,0.5,0.5,2.0,1.0,2.0,0.5,2.0,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.5,2.0,https://media.52poke.com/wiki/thumb/8/82/248Tyranitar.png/600px-248Tyranitar.png
249,Lugia,Lugia閵夊仏閵,娲涘浜 / 娲涘浜歀u貌q铆y脿,Diving Pok鑼卪on,psychic,flying,"['Pressure', 'Multiscale']",,5.2,216.0,680,106,90,130,90,154,110,0.0,3,2,1,30720,1250000,1.0,0.25,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,https://media.52poke.com/wiki/thumb/4/44/249Lugia.png/600px-249Lugia.png
250,Ho-Oh,Houou閵夋稏鍋婇妶鍋,槌崇帇 / 鍑ょ帇F猫ngw谩ng,Rainbow Pok鑼卪on,fire,flying,"['Pressure', 'Regenerator']",,3.8,199.0,680,106,130,90,110,154,90,0.0,3,2,1,30720,1250000,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/6/67/250Ho-Oh.png/600px-250Ho-Oh.png
251,Celebi,Celebi閵堟眹鍎搁妷鎾卞亝,鏅傛媺姣 / 鏃舵媺姣擲h铆l膩b菒,Time Travel Pok鑼卪on,psychic,grass,['Natural Cure'],,0.6,5.0,600,100,100,100,100,100,100,100.0,45,2,1,30720,1059860,1.0,0.5,2.0,2.0,0.5,1.0,4.0,2.0,1.0,2.0,0.5,0.5,0.5,0.5,2.0,1.0,2.0,1.0,https://media.52poke.com/wiki/thumb/e/e7/251Celebi.png/600px-251Celebi.png
252,Treecko,Kimori閵堝劗閵,鏈ㄥ畧瀹 / 鏈ㄥ畧瀹玀霉sh菕ug艒ng,Wood Gecko Pok鑼卪on,grass,,"['Overgrow', 'Unburden']",88.1,0.5,5.0,310,40,45,35,65,55,70,70.0,45,3,0,5120,1059860,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/2/2c/252Treecko.png/500px-252Treecko.png
